voting_country,recipient_country,vote_type,points
Sweden,Romania,jury,1
Switzerland,Ukraine,jury,12
Switzerland,Czechia,jury,10
Switzerland,Poland,jury,8
Switzerland,France,jury,7
Switzerland,Australia,jury,6
Switzerland,Norway,jury,5
Switzerland,Bulgaria,jury,4
Switzerland,Denmark,jury,3
Switzerland,Israel,jury,2
Switzerland,Romania,jury,1
Ukraine,Malta,jury,12
Ukraine,Israel,jury,10
Ukraine,Moldova,jury,8
Ukraine,Czechia,jury,7
Ukraine,Finland,jury,6
Ukraine,France,jury,5
Ukraine,Italy,jury,4
Ukraine,Romania,jury,3
Ukraine,Australia,jury,2
Ukraine,United Kingdom,jury,1
United Kingdom,France,jury,12
United Kingdom,Bulgaria,jury,10
United Kingdom,Czechia,jury,8
United Kingdom,Ukraine,jury,7
United Kingdom,Denmark,jury,6
United Kingdom,Poland,jury,5
United Kingdom,Norway,jury,4
United Kingdom,Australia,jury,3
United Kingdom,Finland,jury,2
United Kingdom,Malta,jury,1
